case_id	source	verdict	one_line	anchor
H-R9D-E-a	notes/r11d-raw-handover-disposition.md:363	不归属本轮·转内容轮	什么都没配时返回硬编码后端名,该名字在注册表里总能取到对象,于是把注册表的可用性回落路径整条短路(■-1 的直接机制) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:363` 的 `H-R9D-E-a`
H-R9D-E-b	notes/r11d-raw-handover-disposition.md:364	不归属本轮·转内容轮	集合含 `"xai"`,但其上方注释断言 xai「不是注册的 provider」—— 证明它已经是;注释指定的同步动作从未执行 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:364` 的 `H-R9D-E-b`
H-R9D-E-c	notes/r11d-raw-handover-disposition.md:365	不归属本轮·转内容轮	代码自己承认分发器会静默换后端,与同文件 `_resolve` docstring 的「不静默换后端」承诺直接冲突(■-2) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:365` 的 `H-R9D-E-c`
H-R9D-E-d	notes/r11d-raw-handover-disposition.md:366	不归属本轮·转内容轮	集合只含 `web_extract` / `web_search`,`x_search` 的第三方内容既不被包装也不被威胁扫描(■-3) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:366` 的 `H-R9D-E-d`
H-R9D-E-e	notes/r11d-raw-handover-disposition.md:367	不归属本轮·转内容轮	进程级缓存无 multiplex 豁免,而同文件 `:1468` 的 `if get_hermes_home_override() is not None:` 有——姐妹站点漏 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:367` 的 `H-R9D-E-e`
H-R9D-E-f	notes/r11d-raw-handover-disposition.md:368	不归属本轮·转内容轮	该函数与 `_LEGACY_PREFERENCE` 只被测试引用,生产选择逻辑在 里另写了一份(■-4) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:368` 的 `H-R9D-E-f`
H-R9D-F-a	notes/r11d-raw-handover-disposition.md:370	不归属本轮·转内容轮	webhook 的「安全子集」含 `clarify`,而 分支只写日志就报 success,agent 会为一个没人能答的问题阻塞到 `agent.clarify_timeo —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:370` 的 `H-R9D-F-a`
H-R9D-F-b	notes/r11d-raw-handover-disposition.md:371	不归属本轮·转内容轮	字面量标签集不认 `<think type="x">`,推理内容随流式增量原样送达用户;而 的未闭合正则用 `\b[^>]*>` 接受属性、会把整条回复吃空——同一输入两条路 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:371` 的 `H-R9D-F-b`
H-R9D-F-c	notes/r11d-raw-handover-disposition.md:372	不归属本轮·转内容轮	高危确认语过期保护对不带 `timestamp` 的历史消息完全不生效;该字段由持久化层写入,需在会话存储片确认哪些恢复路径带时间戳 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:372` 的 `H-R9D-F-c`
H-R9D-F-d	notes/r11d-raw-handover-disposition.md:373	不归属本轮·转内容轮	`"-1"` 子串会命中 `2026-1-5` 这类日期,一次成功的 `read_file` 结果因内容含 `[command interrupted]` 被整块从回放历史删除 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:373` 的 `H-R9D-F-d`
H-R9D-F-e	notes/r11d-raw-handover-disposition.md:374	不归属本轮·转内容轮	environ\[` 零命中),「凭据是否继承给子进程」这个问题需要去找真正 spawn 的模块(`tools/code_execution_tool.py`、`tools/t —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:374` 的 `H-R9D-F-e`
H-R9D-F-f	notes/r11d-raw-handover-disposition.md:375	不归属本轮·转内容轮	用 `netloc`(保留大小写)而非 `hostname`(小写化)比对,`https://TOOL-GATEWAY.…` 被判非托管、bearer 不发;当前所有调用方都自 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:375` 的 `H-R9D-F-f`
H-R9D-F-g	notes/r11d-raw-handover-disposition.md:376	不归属本轮·转内容轮	任意 hook 注入上下文以 0644 落盘、目录 0755、无任何清理机制;对照 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:376` 的 `H-R9D-F-g`
H-R9D-F-h	notes/r11d-raw-handover-disposition.md:377	不归属本轮·转内容轮	在模块 import 时定格 profile 感知的 `get_hermes_home()`,多 profile 网关下三个工具的调试日志会写进 import 时那个 prof —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:377` 的 `H-R9D-F-h`
H-R11B-B1-e	notes/r11d-raw-handover-disposition.md:254	存疑·交主线裁定	片 B1 那 12 个文件的台账 `status` 仍是 `R7B-deep-read`,没反映 R11B 的重读 —— 去向「下一轮开工杂项」,要把片 B1 12 个 + 片 B2 26 个文件的 status 改 R11B-deep-read;本轮提交面不含 data/ledger.tsv	`notes/r11d-raw-handover-disposition.md:254` 的 `H-R11B-B1-e`
H-R11B-D-a	notes/r11d-raw-handover-disposition.md:399	存疑·交主线裁定	锚点指向第三方 pip 包,基线里没有该文件,校验器恒记 MISSING-FILE(3 处)。笔记已用 ` @ mcp==1.28.1 site-packages` 声 —— 去向「下一个动 scripts/ 的轮次」;本轮(截至 701945d)未做:未立 NON-BASELINE 档。**并请主线并案**:与 R11D 主线新铸的 H-R11D-M-c 是同一实体(同一份 notes/r6-60、同样 3 处第三方包锚点、同一条修法)	`notes/r11d-raw-handover-disposition.md:399` 的 `H-R11B-D-a`
H-R11B-D-b	notes/r11d-raw-handover-disposition.md:400	存疑·交主线裁定	该文 15 个块是「每行以自己的行号开头」的行号栏体例,校验器无法比对,本片改标 ```text;实测行号栏 102/103 准确(§4.2 可重跑) —— 去向「下一个动 scripts/ 的轮次」;本轮(截至 701945d)未做:校验器仍不识别「每行以自己行号开头」的行号栏块,R11B 临时改标的 ```text 未改回	`notes/r11d-raw-handover-disposition.md:400` 的 `H-R11B-D-b`
H-R11C-B-d	notes/r11d-raw-handover-disposition.md:276	存疑·交主线裁定	`rulings_census.py` 的 `is_decl()` 用子串匹配判声明位,案号总数偏高 —— 去向「改探针的那一轮」,要把 rulings_census.py 的 is_decl() 子串匹配换成带边界正则;本片只 import R11D 探针未改 data/r11b/ 的历史资产	`notes/r11d-raw-handover-disposition.md:276` 的 `H-R11C-B-d`
H-R11C-C-a	notes/r11d-raw-handover-disposition.md:278	存疑·交主线裁定	`NOFENCE` 遇到块内字面三反引号会把块截断,一个本来配对的块被记成未配对 —— 去向「下一个动 scripts/ 的轮次」;本轮(截至 701945d)未做:本轮确实动了 scripts/(新增 build_reading_layer.py / verify_reading_layer.py),但未碰 verify_evidence_commands.py 的 NOFENCE。字面命中、实质未做,收件人请主线重指	`notes/r11d-raw-handover-disposition.md:278` 的 `H-R11C-C-a`
H-R11C-C-b	notes/r11d-raw-handover-disposition.md:279	存疑·交主线裁定	生产者块带 `tee` 被判 MUTATING 永不跑,消费块每次都跑,必然 `FileNotFoundError` —— 去向「下一轮派工书」;仓库内无 data/r11e/dispatch-brief.md(R11D 同样未留),「证据块不得依赖另一个块产生的文件」是否写进本轮派工书**无法机械核验**	`notes/r11d-raw-handover-disposition.md:279` 的 `H-R11C-C-b`
H-R11C-C-d	notes/r11d-raw-handover-disposition.md:281	存疑·交主线裁定	证据块里的省略号吃掉了产生输出的 `print` 与脚手架,重建必须猜 —— 去向「下一轮制度位」,本轮 CLAUDE.md 改了但未写入「省略号只能省别处逐字写过的部分」,也未量全语料含省略号的 verify 块数	`notes/r11d-raw-handover-disposition.md:281` 的 `H-R11C-C-d`
H-R11C-C-e	notes/r11d-raw-handover-disposition.md:282	存疑·交主线裁定	输出里一个 `->` 被 `REDIRECT_WRITE` 读成写重定向,整块判 MUTATING 永不执行 —— 去向「下一个动 scripts/ 的轮次」;本轮(截至 701945d)未做:REDIRECT_WRITE 仍把输出里的 -> 读成写重定向。同 H-R11C-C-a,字面命中、实质未做	`notes/r11d-raw-handover-disposition.md:282` 的 `H-R11C-C-e`
H-R11C-C-f	notes/r11d-raw-handover-disposition.md:283	存疑·交主线裁定	5 处配对块漂移(命令与贴出的输出对不上),不在片 C 的 55 口径内 —— 去向「下一轮证据清理位」,5 处配对 verify 块漂移分散在 5 份历史底稿;本轮无证据清理片,历史 notes/ 按边界不动	`notes/r11d-raw-handover-disposition.md:283` 的 `H-R11C-C-f`
H-R11C-D-c	notes/r11d-raw-handover-disposition.md:284	存疑·交主线裁定	「解析成功」是假保证:1,543 处裸锚点解析到仓库根同名文件,而这些名字在树的别处也有 —— 去向「下一个动 scripts/ 的轮次」;本轮(截至 701945d)未做:verify_citations.py 未加「根遮蔽」提示档。同上	`notes/r11d-raw-handover-disposition.md:284` 的 `H-R11C-D-c`
H-R11C-D-i	notes/r11d-raw-handover-disposition.md:289	存疑·交主线裁定	`vc.citations()` 无左侧 lookbehind,绝对路径被从中间切一刀(全语料 12 处) —— 去向「下一个动 scripts/ 的轮次」;本轮(截至 701945d)未做:CITE 正则未加左侧 lookbehind、未立 ABSOLUTE 档。同上	`notes/r11d-raw-handover-disposition.md:289` 的 `H-R11C-D-i`
H-R11C-E-d	notes/r11d-raw-handover-disposition.md:290	存疑·交主线裁定	R8C 已推翻的「静默抹掉」定性被写进了派工书模板,且那半句是掉了不是被改正 —— 去向「下一轮派工书」,要就地更正 data/r10/dispatch-brief.md 里 R8C 已推翻的「静默」定性;本轮提交面不含 data/r10/	`notes/r11d-raw-handover-disposition.md:290` 的 `H-R11C-E-d`
H-R11C-E-e	notes/r11d-raw-handover-disposition.md:291	存疑·交主线裁定	`notes/r11b-raw-rulings-census.md:783` 表内锚点 `:700` 的真实位置是 `:730`,差 30 行 —— 去向「下一轮 notes 锚点位」,要把 notes/r11b-raw-rulings-census.md 表内 :700 改 :730 并补声明式摘录;本轮提交面不含该文件	`notes/r11d-raw-handover-disposition.md:291` 的 `H-R11C-E-e`
H-R11C-E-f	notes/r11d-raw-handover-disposition.md:292	存疑·交主线裁定	定案级改判行普查在 `CLAUDE.md` 上报 0 行,而那里确有一条改判(制度文件的改判不带号) —— 去向「下一次做同类普查的那一轮」;本片做的是移交归属普查,不是定案级改判行普查,判据未加「CLAUDE.md 里以『Rxx 更正』开头的引用块一律计入」那一条	`notes/r11d-raw-handover-disposition.md:292` 的 `H-R11C-E-f`
H-R11C-M-a	notes/r11d-raw-handover-disposition.md:191	存疑·交主线裁定	治了症状未治根:发现面扩了,但铸号仍无单一落点 —— 去向自写「下一轮的开工杂项(制度位)」,而本轮开工杂项已落(b39fe88 只入册了阅读层制度条);铸号单一落点未立,那张 64 条登记表未执行	`notes/r11d-raw-handover-disposition.md:191` 的 `H-R11C-M-a`
H-R11D-A-a	reports/round-11d-pre-binding-prereq.md:832	存疑·交主线裁定	一句以三反引号开头的散文会翻转其后整份文件的围栏奇偶,从此一条锚点不扫;主线并案后发现第三类触发:逐字摘录的源码自带围栏标记(遵守契约就会产生,不是谁写错了) —— R11D 片 A 铸,去向只写「下一轮」;本轮(截至 701945d)未做:散文里的三反引号仍会翻转其后整份文件的围栏奇偶,修法在 verify_citations.py	`reports/round-11d-pre-binding-prereq.md:832` 的 `H-R11D-A-a`
H-R11D-A-b	reports/round-11d-pre-binding-prereq.md:833	存疑·交主线裁定	一个锚点挂五处各取一行的合成摘录,撞上 BLOCK-DRIFT「块是连续源码」的单起点契约 —— R11D 片 A 铸,去向只写「下一轮」;本轮(截至 701945d)未做:「一个锚点挂五处合成摘录」算不算合法锚点形态,本轮未定	`reports/round-11d-pre-binding-prereq.md:833` 的 `H-R11D-A-b`
H-R11D-A-c	reports/round-11d-pre-binding-prereq.md:834	存疑·交主线裁定	use-mention 盲区:锚点被当作对象讨论时,机械补全会让该句自我否定;判据「候选唯一」看不见 use 与 mention 的区别 —— R11D 片 A 铸,去向只写「下一轮」;本轮(截至 701945d)未做:use-mention 盲区未入册为「同类批量作业须有人工复核环节」	`reports/round-11d-pre-binding-prereq.md:834` 的 `H-R11D-A-c`
H-R11D-A-d	reports/round-11d-pre-binding-prereq.md:835	存疑·交主线裁定	`reviews/review-1-full-corpus.md:643` 的自引锚点无钉子,校验器读工作树、±40 窗口原理上够不到,报 `not found` 而非漂移距离 —— R11D 片 A 铸,去向只写「下一轮」;本轮(截至 701945d)未做:reviews/ 那处无钉子自引锚点仍报 not found,按裁定不改 reviews/ 正文	`reports/round-11d-pre-binding-prereq.md:835` 的 `H-R11D-A-d`
H-R11D-A-e	reports/round-11d-pre-binding-prereq.md:836	存疑·交主线裁定	`reports` 87 + `reviews` 17 = 104 处多候选裸锚点本轮一处未动;R11C 的长度 + 内容两条判据只跑过 `notes/` —— R11D 片 A 铸,去向只写「下一轮」;本轮(截至 701945d)未做:reports 87 + reviews 17 = 104 处多候选裸锚点一处未动	`reports/round-11d-pre-binding-prereq.md:836` 的 `H-R11D-A-e`
H-R11D-B-a	reports/round-11d-pre-binding-prereq.md:837	存疑·交主线裁定	移交普查的案号正则匹配不了三段式片内号,而案号纪律要求片内铸号带片标识:177 个不同号 / 276 次出现对普查完全隐形,比它能看见的 178 个还多 —— R11D 片 B 铸,去向「R12 前置或任一改普查的轮次」;本片沿用 R11D 的宽正则绕过该缺陷,但普查器本身未改,177 个片内号对原口径仍隐形	`reports/round-11d-pre-binding-prereq.md:837` 的 `H-R11D-B-a`
H-R11D-C-a	reports/round-11d-pre-binding-prereq.md:842	存疑·交主线裁定	机械口径把「已处置」等同「已结清」:处置表一写,表里的号全变 CLOSED,哪怕结论是「转 R12」——本轮 100 条「转 X」就是这样在账面上消失的 —— R11D 新铸:机械口径把「已处置」等同「已结清」,要给移交表加机器可读的「后续」列;本片产出的 TSV 恰好是这种列的一次实做(verdict 五选一),但既未入册也未改普查器,是否算部分结清交主线	`reports/round-11d-pre-binding-prereq.md:842` 的 `H-R11D-C-a`
H-R11D-C-c	reports/round-11d-pre-binding-prereq.md:844	存疑·交主线裁定	移交普查的案号正则与案号纪律互斥,且 137 行真移交表因表头认不出而不计入;两处修法都落在本轮无权改的文件里 —— 去向「把移交普查收进 scripts/ 的那一轮」;本轮(截至 701945d)未做:本片沿用 R11D 探针(import 不改),未把它提升为 scripts/verify_handover_ledger.py，也未跑 97→306 的前后对比	`reports/round-11d-pre-binding-prereq.md:844` 的 `H-R11D-C-c`
H-R11D-M-b	reports/round-11d-pre-binding-prereq.md:829	存疑·交主线裁定	30 处把自引路径挂在基线 sha `863e313` 上(类别错误,sha 指的是另一个仓库) —— R11D 主线铸,去向「任一轮」:30 处自引路径挂了基线 sha(类别错误);本轮无锚点片,且改动面落在历史 notes/reports,按边界不动	`reports/round-11d-pre-binding-prereq.md:829` 的 `H-R11D-M-b`
H-R11D-M-c	reports/round-11d-pre-binding-prereq.md:830	存疑·交主线裁定	关卡的 `resolve()` 只认两棵树,于是第三方依赖的正确引用被报成 `MISSING-FILE`(3 处) —— R11D 主线新铸,去向「加第三个根」;本轮(截至 701945d)未做:resolve() 仍只认两棵树。与 H-R11B-D-a 同一实体,请主线并成一个号	`reports/round-11d-pre-binding-prereq.md:830` 的 `H-R11D-M-c`
H-R11D-C-b	reports/round-11d-pre-binding-prereq.md:843	本轮部分结清	宽表头口径下另有 99 条片内号(R10/R10B 89 + R11A 10)+ 4 个通用号从未进任何账,本轮一条没读 —— R11D 判「下一轮开工杂项」的 99 条片内号 + 4 个通用号(宽表头口径下 113 行)。本片**做了归属筛查**:113 行逐行过关键词并人工读命中,0 条属阅读层,2 条是「写进成品章」类写作建议(H-R10H-f / H-R10H-i)、其余是基线代码缺陷。**未做**的是 R11D 要的四选一处置与「去向轮次过去了没有」的逐条判定	`reports/round-11d-pre-binding-prereq.md:843` 的 `H-R11D-C-b`
