symbol	unit	chapter_at	chapter_n	later_at	later_n	chapter_line	later_line
OPTIONAL_ENV_VARS	条	chapters/r8a-configuration-surface.md:1372	151	notes/r10b-raw-settings-billing.md:982	1	`OPTIONAL_ENV_VARS`(151 条静态字面量)喂**面向用户的界面**——安装向导的检查清单、	R8A 资产是用 AST 从 `DEFAULT_CONFIG` / `OPTIONAL_ENV_VARS` 字面量抽的(`scripts/config_table.py`),因此它的口径是"`DEFAULT_CONFIG` 里的键",不是"
DEFAULT_CONFIG	个	chapters/r8a-configuration-surface.md:230	82	notes/r10b-raw-settings-billing.md:1418	101	**只有用户真正写下的键才可以被桥进环境。** 否则 `DEFAULT_CONFIG` 的 82 个顶层键	| **H-R10B-C-k** | `hermes_cli/web_server.py:872`:`"model_context_length": {` | `data/r8a-config-keys.tsv`(856 键)的口径是 `D
DEFAULT_CONFIG	个	chapters/r8a-configuration-surface.md:421	89	notes/r10b-raw-settings-billing.md:1418	101	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	| **H-R10B-C-k** | `hermes_cli/web_server.py:872`:`"model_context_length": {` | `data/r8a-config-keys.tsv`(856 键)的口径是 `D
DEFAULT_CONFIG	个	chapters/r8a-configuration-surface.md:1759	23	notes/r10b-raw-settings-billing.md:1418	101	- `data/r8a-extra-root-keys.tsv` —— **23 个**不在 `DEFAULT_CONFIG` 里但合法的根键。	| **H-R10B-C-k** | `hermes_cli/web_server.py:872`:`"model_context_length": {` | `data/r8a-config-keys.tsv`(856 键)的口径是 `D
AGENTS.md	份	chapters/r1-what-is-hermes-agent.md:136	1	notes/r10b-raw-shell-overlays.md:1232	3	hermes 有一份非常详细的开发者文档(仓库根的 `AGENTS.md`,7.5 万字;还有一个文档网站)。它们是作者	`apps/desktop/README.md` / `AGENTS.md` / `DESIGN.md` 三份文档里没有 `wake` 窗口的任何描述。
status	个	chapters/r1-what-is-hermes-agent.md:118	122	notes/r10b-raw-store-state.md:36	130	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	| `apps/desktop/src/sdk/index.ts` | 279 | `@hermes/plugin-sdk` 的**实体**:130 个导出名。核心是 `host` 对象(6 个只读状态原子 + `notify`/`noti
status	个	chapters/r8a-configuration-surface.md:140	2	notes/r10b-raw-store-state.md:36	130	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	| `apps/desktop/src/sdk/index.ts` | 279 | `@hermes/plugin-sdk` 的**实体**:130 个导出名。核心是 `host` 对象(6 个只读状态原子 + `notify`/`noti
request	个	chapters/r8c-dashboard-and-web.md:223	6	notes/r10b-raw-store-state.md:36	130	而 `/api/fs/*` 那六个端点**没有一个收 `request` 参数**,所以即便想调也调不了——	| `apps/desktop/src/sdk/index.ts` | 279 | `@hermes/plugin-sdk` 的**实体**:130 个导出名。核心是 `host` 对象(6 个只读状态原子 + `notify`/`noti
HERMES_HOME	个	chapters/r8a-configuration-surface.md:343	2	notes/r10b-raw-store-state.md:178	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	1. **一个渲染进程,N 条后端。** 用户可以同时有多个 profile(各自独立 `HERMES_HOME` 与
AGENTS.md	处	chapters/r9d-tool-surface-and-guard-placement.md:641	1	notes/r10b-raw-store-state.md:1041	3	**另一处文档缺口(结清 R9A 的一条移交项)**:`AGENTS.md` 的 toolset 一节说	`apps/desktop/DESIGN.md` 三处与状态层有关的段落(`website/docs/**` 与仓库根 `AGENTS.md`、`README.md`
clarify	个	chapters/r8a-configuration-surface.md:507	1	notes/r10b-raw-store-state.md:1196	12	而 `clarify` 的解析写在一个**共享 helper** 里,那个 helper**根本不知道世界上还有第二份默认值**。	**12 个纯事件驱动的模块在软切换时不被清**:`prompts`、`clarify`、`compaction`、`todos`、
tests/	处	chapters/r2-turn-loop-and-model-access.md:148	1	notes/r11a-90-handover-rulings.md:104	4	--include=*.py`,全仓,不排除任何目录;`tests/` 下另有一处只是断言它为 `False`):一次是上面这个读、	命中 4 处,去掉 `tests/` 后 3 处 —— 除上面 1 处外,`gateway/relay/adapter.py:471`
status	个	chapters/r1-what-is-hermes-agent.md:118	122	notes/r11a-90-handover-rulings.md:432	243	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	| **H-R11A-f** | 接手 `plugins/` 的那一轮 | `scripts/assign_layers.py:612`:`("plugins/**", "L2", "R6"),` | `round=R6` 名下另有 243
status	个	chapters/r8a-configuration-surface.md:140	2	notes/r11a-90-handover-rulings.md:432	243	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	| **H-R11A-f** | 接手 `plugins/` 的那一轮 | `scripts/assign_layers.py:612`:`("plugins/**", "L2", "R6"),` | `round=R6` 名下另有 243
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-92-mainline-crosschecks.md:159	3	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	3 份是**随 `sync_skills()` 发到每个用户**的 `SKILL.md`,其余 6 份是文档站页面
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-92-mainline-crosschecks.md:170	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	而 183 份 shipped `SKILL.md` 没有同形态的扫全量测试。**搜索面**:`tests/` 下
AGENTS.md	个	chapters/r1-what-is-hermes-agent.md:136	1	notes/r11a-raw-ci-and-container.md:986	4	hermes 有一份非常详细的开发者文档(仓库根的 `AGENTS.md`,7.5 万字;还有一个文档网站)。它们是作者	`scripts/ci/*.py`(4 个),`website/`、`AGENTS.md`、`CONTRIBUTING.md` 零命中。
AGENTS.md	个	chapters/r8a-configuration-surface.md:1744	1	notes/r11a-raw-ci-and-container.md:986	4	2,386 行的配置文档与仓库根的 `AGENTS.md` 都没有任何提及;文档呈现的是一个单一、	`scripts/ci/*.py`(4 个),`website/`、`AGENTS.md`、`CONTRIBUTING.md` 零命中。
AGENTS.md	个	chapters/r9d-tool-surface-and-guard-placement.md:488	7	notes/r11a-raw-ci-and-container.md:986	4	"代码有、`AGENTS.md` 没列"的 7 个功能 toolset 之一。	`scripts/ci/*.py`(4 个),`website/`、`AGENTS.md`、`CONTRIBUTING.md` 零命中。
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	notes/r11a-raw-install-release.md:71	1	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	| `nix/configMergeScript.nix` | 33 | 生成一个 `python3 + pyyaml` 脚本:把 Nix 生成的 JSON 深合并进已存在的 `config.yaml`,Nix 键覆盖、用户键保留 |
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	notes/r11a-raw-install-release.md:71	1	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	| `nix/configMergeScript.nix` | 33 | 生成一个 `python3 + pyyaml` 脚本:把 Nix 生成的 JSON 深合并进已存在的 `config.yaml`,Nix 键覆盖、用户键保留 |
config.yaml	个	chapters/r8a-configuration-surface.md:343	2	notes/r11a-raw-install-release.md:71	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	| `nix/configMergeScript.nix` | 33 | 生成一个 `python3 + pyyaml` 脚本:把 Nix 生成的 JSON 深合并进已存在的 `config.yaml`,Nix 键覆盖、用户键保留 |
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:129	2	notes/r11a-raw-install-release.md:71	1	上一轮(R8A)的结论是:同一份 `config.yaml` 被两个装载器读,合并语义不一样。	| `nix/configMergeScript.nix` | 33 | 生成一个 `python3 + pyyaml` 脚本:把 Nix 生成的 JSON 深合并进已存在的 `config.yaml`,Nix 键覆盖、用户键保留 |
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:191	4	notes/r11a-raw-install-release.md:71	1	四个消费面实跑对照(全新安装,没有 `config.yaml`):	| `nix/configMergeScript.nix` | 33 | 生成一个 `python3 + pyyaml` 脚本:把 Nix 生成的 JSON 深合并进已存在的 `config.yaml`,Nix 键覆盖、用户键保留 |
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:552	5	notes/r11a-raw-install-release.md:71	1	- **◇-R8B-b** `config.yaml` 的读取函数应从上一轮的**五个**更正为**六个**;第六个是启动最早期的 `_config_default_interface_early`(`hermes_cli/main.py:	| `nix/configMergeScript.nix` | 33 | 生成一个 `python3 + pyyaml` 脚本:把 Nix 生成的 JSON 深合并进已存在的 `config.yaml`,Nix 键覆盖、用户键保留 |
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	notes/r11a-raw-install-release.md:684	7	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	notes/r11a-raw-install-release.md:684	7	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
config.yaml	个	chapters/r8a-configuration-surface.md:204	1	notes/r11a-raw-install-release.md:684	7	也就是说,用户可以在 `config.yaml` 里写一个**任意名字**的顶层标量,给技能脚本和外部程序	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
config.yaml	个	chapters/r8a-configuration-surface.md:343	1	notes/r11a-raw-install-release.md:684	7	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:129	2	notes/r11a-raw-install-release.md:684	7	上一轮(R8A)的结论是:同一份 `config.yaml` 被两个装载器读,合并语义不一样。	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:191	4	notes/r11a-raw-install-release.md:684	7	四个消费面实跑对照(全新安装,没有 `config.yaml`):	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:552	5	notes/r11a-raw-install-release.md:684	7	- **◇-R8B-b** `config.yaml` 的读取函数应从上一轮的**五个**更正为**六个**;第六个是启动最早期的 `_config_default_interface_early`(`hermes_cli/main.py:	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
config.yaml	个	chapters/r8c-dashboard-and-web.md:412	1	notes/r11a-raw-install-release.md:684	7	| ■ | `hermes_cli/web_server.py:2453`、`:2573` | 同一个 `config.yaml`:读端点 403、写端点 200;可清空 `approvals.deny` |	配置生成走 `nix/configMergeScript.nix`:Nix 侧的 attrset 转 JSON,再 `deep_merge` 进已存在的 `config.yaml`,Nix 键赢、用户键(skills/streaming 等
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:93	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	1. **`skill`(37 / 8,912 行,241 行/文件)是这一片的主体。** 全仓 183 份 `SKILL.md`
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:264	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	**这是「同构短文档」四个字的真正来源**:183 份 `SKILL.md` 里只有 8 份越界。
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:277	37	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	本片 37 份 `SKILL.md` 里越界的只有 `optional-skills/health/fitness-nutrition/SKILL.md`
HERMES_HOME	个	chapters/r8a-configuration-surface.md:343	2	notes/r11a-raw-skills-calibration.md:324	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	**端到端实测**:在一个一次性 `HERMES_HOME` 里跑完 跳1→跳4,再看渲染出的索引里
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:471	71	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	| 数量(实测) | 71 份 `SKILL.md` | 112 份 `SKILL.md` |
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:625	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	**(c) 校验——仓库内的 183 份 `SKILL.md` 没有任何一条会跑到它们头上。**
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:804	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	**一个规模数**:全仓 `references/` 430 文件 / 131,172 行,是 183 份 `SKILL.md`
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:943	3	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	### ■-2 三份 shipped `SKILL.md` 里写死了作者本机路径 `/home/bb/hermes-agent/`
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:961	3	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	**9 个文件、每个 2 处,共 18 处**:3 份 shipped `SKILL.md` + 它们生成出来的
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:983	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	而 183 份 shipped `SKILL.md` 没有对应物(N-2)。
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:1054	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	### N-2(负结论)仓库内 183 份 `SKILL.md` 没有任何仓库级 front-matter 校验
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:1092	3	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	**这条负结论的直接代价就是 ■-2**:三份 `SKILL.md` 里的 `/home/bb/` 一直活着。
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	notes/r11a-raw-skills-calibration.md:1149	37	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	118 个文件里 37 份 `SKILL.md` + 22 份 `references/` 共 59 个文件、13,913 行,
whatsapp.py	个	chapters/r7b-platform-integration.md:794	3	notes/r11b-raw-backlog-light.md:26	17	`discord.py`、`whatsapp.py` —— **三个里两个不存在**(已迁到插件目录)。	其中 `model.py` 并不在 TSV 里(它已被覆盖),TSV 里的第 17 个是 **`whatsapp.py`**。
whatsapp.py	个	chapters/r7b-platform-integration.md:796	1	notes/r11b-raw-backlog-light.md:26	17	——它拿一个已经不在这个目录下的 `whatsapp.py` 跟自己作对比:	其中 `model.py` 并不在 TSV 里(它已被覆盖),TSV 里的第 17 个是 **`whatsapp.py`**。
whatsapp.py	个	chapters/r7b-platform-integration.md:794	3	notes/r11b-raw-backlog-light.md:274	0	`discord.py`、`whatsapp.py` —— **三个里两个不存在**(已迁到插件目录)。	**(d) 参数最少 / 最多**:`console.py` 与 `whatsapp.py` 各 0 个 `add_argument`(纯转发),
whatsapp.py	个	chapters/r7b-platform-integration.md:796	1	notes/r11b-raw-backlog-light.md:274	0	——它拿一个已经不在这个目录下的 `whatsapp.py` 跟自己作对比:	**(d) 参数最少 / 最多**:`console.py` 与 `whatsapp.py` 各 0 个 `add_argument`(纯转发),
base	个	chapters/r11a-ops-and-delivery.md:159	2	notes/r11b-raw-backlog-light.md:1107	1	**两个长驻服务,彼此不依赖,各自只依赖 `base`。** 也就是说:仪表盘挂了不影响	外加 `base` `file_sync` `modal_utils`,而 `__init__` **一个后端都不导出**。
computer_use	个	chapters/r9d-tool-surface-and-guard-placement.md:662	30	notes/r11b-raw-backlog-light.md:1175	5	| 能力 toolset:`x_search`、`video_gen`、`bfl`、`computer_use`、`context_engine`、`project`、`coding` | **7** | **▲** | 与已列出的 30 	`computer_use` 把 5 个公共函数全部拉到包顶层。差别的根源是**包的边界性质不同**:
computer_use	个	chapters/r9d-tool-surface-and-guard-placement.md:662	30	notes/r11b-raw-backlog-light.md:1179	1	| 能力 toolset:`x_search`、`video_gen`、`bfl`、`computer_use`、`context_engine`、`project`、`coding` | **7** | **▲** | 与已列出的 30 	- `computer_use` 是**一个实现的多个面**(注册、审批回调、能力检查、schema、会话释放),
status	个	chapters/r1-what-is-hermes-agent.md:118	122	notes/r11b-raw-backlog-r7b.md:60	12	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	十二个 `R7B-deep-read`,十二个零。**`status` 列在这 12 个文件上高于实际交付**,这就是本片要还的账。
status	个	chapters/r8a-configuration-surface.md:140	2	notes/r11b-raw-backlog-r7b.md:60	12	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	十二个 `R7B-deep-read`,十二个零。**`status` 列在这 12 个文件上高于实际交付**,这就是本片要还的账。
None	个	chapters/r10-client-interface-layer.md:165	4	notes/r11b-raw-backlog-r7b.md:1870	1	四个调用点全部拿到 `None` 走回落。**模块还在、测试还绿、功能早已不存在。**	「一个返回 `Optional[dict]` 的函数,实际上永不返回 `None`」——
None	个	chapters/r9d-tool-surface-and-guard-placement.md:603	2	notes/r11b-raw-backlog-r7b.md:1870	1	5. **"不知道"和"没问题"必须是两个值。** LSP 超时返回 `None` 而不是 `[]`,是本簇最该抄的一行设计。	「一个返回 `Optional[dict]` 的函数,实际上永不返回 `None`」——
data/ledger.tsv	个	chapters/r1-what-is-hermes-agent.md:98	5	notes/r11b-raw-backlog-r7b.md:2608	12	五个层(`data/ledger.tsv` 台账,`scripts/verify_ledger.py` 校验)。**下表是当前值,不是历史快照**	| H-B1-e | R11B 主线(台账) | `gateway/platforms/media_cache.py:1`:`"""Shared mime↔extension dispatch for inbound (downloaded
status	个	chapters/r1-what-is-hermes-agent.md:118	122	notes/r11b-raw-backlog-r7b.md:2608	12	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	| H-B1-e | R11B 主线(台账) | `gateway/platforms/media_cache.py:1`:`"""Shared mime↔extension dispatch for inbound (downloaded
status	个	chapters/r8a-configuration-surface.md:140	2	notes/r11b-raw-backlog-r7b.md:2608	12	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	| H-B1-e | R11B 主线(台账) | `gateway/platforms/media_cache.py:1`:`"""Shared mime↔extension dispatch for inbound (downloaded
tests/	处	chapters/r2-turn-loop-and-model-access.md:148	1	notes/r11b-raw-chapter-anchors.md:557	4	--include=*.py`,全仓,不排除任何目录;`tests/` 下另有一处只是断言它为 `False`):一次是上面这个读、	四处命中逐一说明(1 读 + 1 初始化 + 2 消费,`tests/` 另有一处只断言其为 `False`)。
False	处	chapters/r2-turn-loop-and-model-access.md:148	1	notes/r11b-raw-chapter-anchors.md:557	4	--include=*.py`,全仓,不排除任何目录;`tests/` 下另有一处只是断言它为 `False`):一次是上面这个读、	四处命中逐一说明(1 读 + 1 初始化 + 2 消费,`tests/` 另有一处只断言其为 `False`)。
False	处	chapters/r8b-cli-trunk-and-interaction.md:266	2	notes/r11b-raw-chapter-anchors.md:557	4	类型是 `bool`、默认值是 `False`,而全仓只有两处生产构造,**两处都传了真 bool**。	四处命中逐一说明(1 读 + 1 初始化 + 2 消费,`tests/` 另有一处只断言其为 `False`)。
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r11b-raw-notes-citation-cleanup.md:461	1	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	而基线**仓库根真的有一个 `cli.py`**,于是校验器解析成了根上那个,报 MISMATCH 而不是 MISSING-FILE。
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r11b-raw-notes-citation-cleanup.md:461	1	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	而基线**仓库根真的有一个 `cli.py`**,于是校验器解析成了根上那个,报 MISMATCH 而不是 MISSING-FILE。
cli.py	个	chapters/r8b-cli-trunk-and-interaction.md:214	24	notes/r11b-raw-notes-citation-cleanup.md:461	1	一层 `update` 只会让**三层深**的键丢兄弟,`cli.py` 的默认值里这样的子树**恰好 4 棵、共 24 个叶子**。	而基线**仓库根真的有一个 `cli.py`**,于是校验器解析成了根上那个,报 MISMATCH 而不是 MISSING-FILE。
running	个	chapters/r7c-gateway-periphery-and-scheduling.md:535	1	notes/r11b-raw-rulings-census.md:383	3	**其三 · 幽灵状态与幽灵 API。** cron 文档的生命周期表里有一个 `running` 状态 ——	#### M-6 `running` 幽灵状态(3 个案号,**同轮内两份底稿撞号**)
AGENTS.md	个	chapters/r1-what-is-hermes-agent.md:136	1	notes/r11b-raw-rulings-census.md:445	3	hermes 有一份非常详细的开发者文档(仓库根的 `AGENTS.md`,7.5 万字;还有一个文档网站)。它们是作者	#### M-10 `AGENTS.md` toolset 清单(3 个案号,同轮内)
AGENTS.md	个	chapters/r8a-configuration-surface.md:1744	1	notes/r11b-raw-rulings-census.md:445	3	2,386 行的配置文档与仓库根的 `AGENTS.md` 都没有任何提及;文档呈现的是一个单一、	#### M-10 `AGENTS.md` toolset 清单(3 个案号,同轮内)
AGENTS.md	个	chapters/r9d-tool-surface-and-guard-placement.md:488	7	notes/r11b-raw-rulings-census.md:445	3	"代码有、`AGENTS.md` 没列"的 7 个功能 toolset 之一。	#### M-10 `AGENTS.md` toolset 清单(3 个案号,同轮内)
status	个	chapters/r1-what-is-hermes-agent.md:118	122	notes/r11c-90-handover-rulings.md:167	38	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	保留 `R6` 与 R11B 不改那 38 个文件 `status` 的理由同源:**改掉就抹掉了「哪一轮原本
status	个	chapters/r8a-configuration-surface.md:140	2	notes/r11c-90-handover-rulings.md:167	38	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	保留 `R6` 与 R11B 不改那 38 个文件 `status` 的理由同源:**改掉就抹掉了「哪一轮原本
cli.py	处	chapters/r8b-cli-trunk-and-interaction.md:370	1	notes/r11c-raw-anchor-resolution.md:48	344	**而 `cli.py` 全文没有任何一处提到 `whoami`**——分发链里没有它的分支。	(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。**已确证并改正 60 处指错了文件**
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r11c-raw-anchor-resolution.md:48	7	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。**已确证并改正 60 处指错了文件**
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r11c-raw-anchor-resolution.md:48	7	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。**已确证并改正 60 处指错了文件**
cli.py	个	chapters/r8b-cli-trunk-and-interaction.md:214	24	notes/r11c-raw-anchor-resolution.md:48	7	一层 `update` 只会让**三层深**的键丢兄弟,`cli.py` 的默认值里这样的子树**恰好 4 棵、共 24 个叶子**。	(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。**已确证并改正 60 处指错了文件**
cli.py	处	chapters/r8b-cli-trunk-and-interaction.md:370	1	notes/r11c-raw-anchor-resolution.md:844	543	**而 `cli.py` 全文没有任何一处提到 `whoami`**——分发链里没有它的分支。	| **H-R11C-D-c** | **「解析成功」是假保证**:1,543 处裸锚点解析到仓库根上的同名文件,而根上那 11 个名字在树的别处都还有同名(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。本
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r11c-raw-anchor-resolution.md:844	11	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	| **H-R11C-D-c** | **「解析成功」是假保证**:1,543 处裸锚点解析到仓库根上的同名文件,而根上那 11 个名字在树的别处都还有同名(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。本
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r11c-raw-anchor-resolution.md:844	11	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	| **H-R11C-D-c** | **「解析成功」是假保证**:1,543 处裸锚点解析到仓库根上的同名文件,而根上那 11 个名字在树的别处都还有同名(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。本
cli.py	个	chapters/r8b-cli-trunk-and-interaction.md:214	24	notes/r11c-raw-anchor-resolution.md:844	11	一层 `update` 只会让**三层深**的键丢兄弟,`cli.py` 的默认值里这样的子树**恰好 4 棵、共 24 个叶子**。	| **H-R11C-D-c** | **「解析成功」是假保证**:1,543 处裸锚点解析到仓库根上的同名文件,而根上那 11 个名字在树的别处都还有同名(`cli.py` 1,344 处 / 根 18,555 行 / 别处 7 个)。本
send_slash_confirm	个	chapters/r7b-platform-integration.md:819	5	notes/r11c-raw-bad-evidence.md:137	3	**这五个交互方法里,两个有基类桩(`send_clarify`、`send_slash_confirm`)、三个没有**	| 22 | `notes/r7b-90-doc-conflict-rulings.md:175` | `send_slash_confirm`/`send_clarify` 在 3745/3780;另三个方法零命中 |
send_clarify	个	chapters/r7b-platform-integration.md:819	5	notes/r11c-raw-bad-evidence.md:137	3	**这五个交互方法里,两个有基类桩(`send_clarify`、`send_slash_confirm`)、三个没有**	| 22 | `notes/r7b-90-doc-conflict-rulings.md:175` | `send_slash_confirm`/`send_clarify` 在 3745/3780;另三个方法零命中 |
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	notes/r11c-raw-dedup-82.md:219	3	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	三个号指的是同一条链:凭据写进 `config.yaml` 顶层,再被这段桥接成活的 `os.environ` 值。
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	notes/r11c-raw-dedup-82.md:219	3	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	三个号指的是同一条链:凭据写进 `config.yaml` 顶层,再被这段桥接成活的 `os.environ` 值。
config.yaml	个	chapters/r8a-configuration-surface.md:204	1	notes/r11c-raw-dedup-82.md:219	3	也就是说,用户可以在 `config.yaml` 里写一个**任意名字**的顶层标量,给技能脚本和外部程序	三个号指的是同一条链:凭据写进 `config.yaml` 顶层,再被这段桥接成活的 `os.environ` 值。
