# 语料快照 : 8d6bac6  文件 276 份  剔除前缀 ('r11c-',)
# 撞号     : 39 号 / 100 实体
# 带处置语 : 23 号出现过 STRONG 处置语(结清/关闭/证伪/改判/…)
	cid	entities	entity_idx	mint_file	mint_line	anchor_files	mint_text
VERDICT-STRONG	H-R10B-a	2	-	notes/r11b-raw-rulings-census.md	884	结清/已结	| **H-R11B-A-d** | R12 前置 | `apps/desktop/src/plugins/gateway-pill/plugin.tsx:350`:`const plugin: HermesPlugin = {` | 同上,`H-R10B-a` 的第三处铸号(R10B 片 H);插件未声明 `defaultEnabled`,同样随号被误判为已结清 |
VERDICT-STRONG	H-R10B-a	2	-	reports/round-11a-ops-and-delivery.md	19	结清	### 1.1 H-R10B-a 结清:无扩展名文件的锚点
VERDICT-STRONG	H-R10B-a	2	-	reports/round-11b-review-and-reconciliation.md	99	结清	R11A 写「H-R10B-a 结清」只结清了第一处,**另两处从未处置,且因号已标结清而不会再被发现**。
VERDICT-STRONG	H-R10B-a	2	-	reports/round-11b-review-and-reconciliation.md	597	结清/已结	1. **`H-R11B-A-c` / `-d`**:`H-R10B-a` 那两处被误判已结清的真欠账。
MINT	H-R10B-b	2	1	notes/r10-raw-tui-gateway-methods.md	1649	tui_gateway/host_supervisor.py	| H-R10B-b | `tui_gateway/host_supervisor.py:511`:`self._stopped_respawning = True` | 全仓仅此一处置 `True`,无任何复位点;触发后 `is_running()` 恒 False,回合隔离在该进程余生静默失效,
MINT	H-R10B-b	2	2	notes/r10b-raw-capability-panels.md	1354	apps/desktop/src/contrib/runtime-loader.ts,apps/desktop/src/plugins/hello-runtime/plugin.runtime.js	| **H-R10B-b** | `apps/desktop/src/plugins/hello-runtime/plugin.runtime.js:28`:`id: 'hello-runtime',` | 全仓无任何引用,双重不可达;`apps/desktop/src/contrib/runtim
VERDICT-STRONG	H-R10B-b	2	-	reports/round-11b-review-and-reconciliation.md	354	关闭	| H-R9D-e + H-R10B-b | **合并关闭并入册**:"搜过没有"类测量必须报剔除/不剔除两个读数 |
MINT	H-R10B-c	2	1	notes/r10-raw-tui-gateway-methods.md	1650	tui_gateway/host_supervisor.py	| H-R10B-c | `tui_gateway/host_supervisor.py:422`:`self._last_progress_counter = int(frame.get("progress_counter") or self._last_progress_counter)` | 
MINT	H-R10B-c	2	2	notes/r10b-raw-capability-panels.md	1355	hermes_cli/skills_hub.py,tools/skill_manager_tool.py	| **H-R10B-c** | `hermes_cli/skills_hub.py:680`:`allowed, reason = should_allow_install(result, force=force)` | 被调函数用 `None` 表示「需确认」,此处 `if not allowe
MINT	H-R10B-d	2	1	notes/r10-raw-tui-gateway-methods.md	1651	tests/test_tui_gateway_server.py,tui_gateway/methods_tools.py	| H-R10B-d | `tui_gateway/methods_tools.py:623`:`_apply_model_switch(` | 这条调用在 `command.dispatch` 的 `/moa` 分支里,**上游没有任何** `session.get("running")` 检查;
MINT	H-R10B-d	2	2	notes/r10b-raw-capability-panels.md	1356	apps/desktop/src/contrib/types.ts	| **H-R10B-d** | `apps/desktop/src/contrib/types.ts:21`:`export type ContributionSource = 'core' \| (string & {})` | `source` 字段的注释说它「drives precedenc
VERDICT-STRONG	H-R10B-d	2	-	reports/round-11b-review-and-reconciliation.md	363	改判	| H-R10B-d | **不改分层,改判理由**:全仓不可达属实,但 L4 是"主动决定不学",而它**刚产出一条发现**;记 **▲(码内)-R11B-01** |
MINT	H-R10B-e	3	1	notes/r10-raw-tui-gateway-methods.md	1652	tui_gateway/project_tree.py	| H-R10B-e | `tui_gateway/project_tree.py:131`:`def _is_path_under(folder: str, target: str) -> bool:` | 该模块唯一的路径包含性判定,全仓零调用(`grep -rn "_is_path_under
MINT	H-R10B-e	3	2	notes/r10b-raw-capability-panels.md	1357	apps/desktop/src/app/skills/index.tsx	| **H-R10B-e** | `apps/desktop/src/app/skills/index.tsx:733`:`const editable = skill.provenance === 'agent'` | UI 侧的 provenance 门无 API 侧对应物;星图右键(`node
MINT	H-R10B-e	3	3	reports/round-10b-desktop-application.md	706	apps/desktop/playwright.config.ts	| **H-R10B-e** | R11A | `apps/desktop/playwright.config.ts:1` 的 `import { defineConfig` | 19 个 e2e spec 仍未跑;需 Electron 二进制 + 浏览器,是桌面端唯一的端到端验证缺口 |
VERDICT-WEAK	H-R10B-e	3	-	notes/r11a-90-handover-rulings.md	356	移交	## 7. H-R10B-e —— 阻塞面比移交项写的小一半
MINT	H-R10B-f	2	1	notes/r10-raw-tui-gateway-methods.md	1653	tui_gateway/methods_complete.py	| H-R10B-f | `tui_gateway/methods_complete.py:167`:`search_dir if os.path.isabs(search_dir) else os.path.join(root, search_dir)` | 显式路径分支直通绝对路径、无 `..`
MINT	H-R10B-f	2	2	notes/r10b-raw-capability-panels.md	1358	apps/desktop/src/sdk/index.ts	| **H-R10B-f** | `apps/desktop/src/sdk/index.ts:250`:`export const PANES_AREA = 'panes'` | 22 个 area 中 `layouts` / `titleBar.tools.left` / `titleBar.t
VERDICT-STRONG	H-R10B-f	2	-	notes/r11b-90-handover-rulings.md	187	结清	### H-R10-c + H-R10B-f —— 结清记录有多个存放地
VERDICT-STRONG	H-R10B-f	2	-	reports/round-10b-desktop-application.md	707	结清/定案	| **H-R10B-f** | R11 复盘(与 **H-R10-c** 合并) | `data/r10/probes/handover_census.py:24` 的 `ORDER` | 移交普查的**输入面**靠手工清单维护,漏掉整轮而无提示;R10B 版已改为向 git 要顺序,建议连同「结清记录有两个存放地」一并定案 |
VERDICT-STRONG	H-R10B-f	2	-	reports/round-11b-review-and-reconciliation.md	355	结清/关闭	| H-R10-c + H-R10B-f | **合并关闭,根因改述**:不是普查扫得不够宽(扩一次就冒出第三个存放地),而是**结清没有单一落点**。已入册 |
MINT	H-R10B-g	2	1	notes/r10-raw-tui-gateway-methods.md	1654	tui_gateway/methods_config.py,tui_gateway/methods_tools.py	| H-R10B-g | `tui_gateway/methods_config.py:3`:`NOTE: ``config.set`` stays in server.py for now — the in-flight` | 读配置(`config.get`,21 key)已搬进 `method
MINT	H-R10B-g	2	2	notes/r10b-raw-capability-panels.md	1359	apps/desktop/src/app/command-palette/index.tsx	| **H-R10B-g** | `apps/desktop/src/app/command-palette/index.tsx:488`:`export function CommandPalette() {` | 该文件 1,358 行 + 同目录三个文件,合计 1,810 行,**零测试文件、
VERDICT-STRONG	H-R10B-g	2	-	notes/r11a-90-handover-rulings.md	12	结清/升格	| **H-R10B-g** verify 块配对率 | **结清** | 关卡升格 + 「钉数必配 text 块」写进 CLAUDE.md 与派工书 |
VERDICT-STRONG	H-R10B-g	2	-	reports/round-11a-ops-and-delivery.md	104	结清	这正是 H-R10B-g 建议的做法,本轮结清。
MINT	H-R8C-f	3	1	notes/r10-raw-web-dashboard.md	1438	web/src/App.tsx	### 6.2 H-R8C-f —— backup/import 在 `/system` 页,**import 有二次确认、backup 一次点击零警告**
MINT	H-R8C-f	3	2	notes/r10b-90-handover-rulings.md	344	hermes_cli/web_server.py	| H-R8C-f(后端半边) | R11A | `hermes_cli/web_server.py:12892`:`@app.post("/api/ops/import")` —— 复核:解析得到,行号正确 |
MINT	H-R8C-f	3	2	reports/round-10-client-interface-layer.md	526	hermes_cli/web_server.py	| **H-R8C-f**(后端半边) | R11A | `hermes_cli/web_server.py:12892`:`@app.post("/api/ops/import")` | 「来源校验仅 basename」需读 import 解包实现才能证成或证伪,本轮只结清前端半边 |
MINT	H-R8C-f	3	2	reports/round-8c-dashboard-and-web.md	361	hermes_cli/web_server.py	| **H-R8C-f** | R9 | `hermes_cli/web_server.py:12801` 起的 Operations 簇;`/api/ops/import` | backup 打包整个 HERMES_HOME(含 `.env`/`auth.json`),import 覆盖凭据与配置
MINT	H-R8C-f	3	3	notes/r11a-90-handover-rulings.md	25	hermes_cli/backup.py	| **H-R8C-f** import 仅校验 basename | **按原述证伪** | `hermes_cli/backup.py:973` 的 `target.resolve().relative_to(hermes_root.resolve())` |
VERDICT-STRONG	H-R8C-f	3	-	notes/r10-90-handover-rulings.md	428	结清	1. §2.2(H-R8C-f)**没有结清后端半边**,理由写在该节:没读 import 的解包实现就不盖章。
VERDICT-STRONG	H-R8C-f	3	-	notes/r10-raw-web-dashboard.md	1595	定案	**本条的处置**:按主线定案,H-R8C-f 的后端半边(import 解包实现的"来源校验仅 basename"
VERDICT-STRONG	H-R8C-f	3	-	notes/r11a-90-handover-rulings.md	25	证伪	| **H-R8C-f** import 仅校验 basename | **按原述证伪** | `hermes_cli/backup.py:973` 的 `target.resolve().relative_to(hermes_root.resolve())` |
VERDICT-STRONG	H-R8C-f	3	-	notes/r11a-90-handover-rulings.md	400	证伪	## 9. H-R8C-f —— 按原述证伪
VERDICT-STRONG	H-R8C-f	3	-	reports/round-10-client-interface-layer.md	131	结清	| **H-R8C-f** | **拆两半**:前端半边由片 G 结清(`/system` 页 4 个入口,恢复有二次确认但文案不含凭据字样,**备份与下载零确认**);**后端半边归 R11A** —— 没读 import 解包实现就不盖章 |
VERDICT-STRONG	H-R8C-f	3	-	reports/round-10-client-interface-layer.md	526	结清/证伪	| **H-R8C-f**(后端半边) | R11A | `hermes_cli/web_server.py:12892`:`@app.post("/api/ops/import")` | 「来源校验仅 basename」需读 import 解包实现才能证成或证伪,本轮只结清前端半边 |
MINT	H-R8D-e	2	1	notes/r9a-90-rulings.md	500	tools/skills_sync_client.py	**(二)`sync.base_url` 那条 ■ 与 H-R8D-e 是同一形状的**另一个实例**,主线独立坐实。**
MINT	H-R8D-e	2	2	reports/round-8d-cli-completion.md	428	hermes_cli/models.py	| **H-R8D-e** | R9 | `hermes_cli/models.py:4612` | Bearer 令牌走裸 `urlopen`,而 `base_url` 是配置可控的;全仓 60+ 个裸 `urlopen` 里还有多少带凭据**未普查** |
VERDICT-STRONG	H-R8D-e	2	-	notes/r11b-raw-rulings-census.md	564	结清	- **误报 4 个**:`H-17` / `H-R8D-e` / `H-R9A-g` / `H-R8C-f`。它们只是「同一条的结清写在另一个文件里」,
VERDICT-STRONG	H-R8D-e	2	-	notes/r9a-01-scope-and-split.md	299	结清	| `notes/r9a-h-r8d-ef-surveys.md` | 结清 H-R8D-e / H-R8D-f |
VERDICT-WEAK	H-R8D-e	2	-	notes/r9a-90-rulings.md	515	移交	交给做 H-R8D-e 普查的那一路,见报告移交节。
VERDICT-WEAK	H-R8D-e	2	-	notes/r9a-90-rulings.md	738	移交	做 H-R8D-e 普查的子代理在**移交项射程之外**发现了一条比锚点本身严重一个量级的问题。
VERDICT-WEAK	H-R8D-e	2	-	notes/r9a-h-r8d-ef-surveys.md	1	移交	# r9a 底稿 · 两条移交项的全仓普查(H-R8D-e / H-R8D-f)
VERDICT-STRONG	H-R8D-e	2	-	notes/r9a-h-r8d-ef-surveys.md	17	关闭	| **H-R8D-e** 带凭据的裸 `urlopen` | **关闭并加重** | 个例属实但**不是最严重的那个**;普查在 99 个非测试裸 `urlopen` 里找出 **44 个带凭据**、其中 **21 个 URL 可控**;最重的一处是 `gateway/relay/media.py` 的 `download()`(§1.5 发现 1)——URL 来自**入站事件**,门禁是一次 
VERDICT-WEAK	H-R8D-e	2	-	notes/r9a-h-r8d-ef-surveys.md	26	移交	> **H-R8D-e**(移交 R9):锚点 `hermes_cli/models.py:4612`——Bearer 令牌走裸 `urlopen`,
VERDICT-STRONG	H-R8D-e	2	-	notes/r9a-h-r8d-ef-surveys.md	812	关闭	## 1.8 结论:H-R8D-e **关闭并加重**
VERDICT-STRONG	H-R8D-e	2	-	reports/round-9a-capability-organization.md	138	关闭	| **H-R8D-e**(带凭据的可控 URL 普查) | **关闭并加重** |
MINT	H-R9A-a	3	1	notes/r9a-h-r8d-b-kanban-db.md	2063	hermes_cli/kanban_db.py	- **H-R9A-a(■-1 的处置)**:`hermes_cli/kanban_db.py:2018` 与 `:2125` ——
MINT	H-R9A-a	3	2	notes/r9a-raw-egress.md	1794	hermes_cli/proxy_cli.py	- **H-R9A-a**:锚点 `hermes_cli/proxy_cli.py:884`——`known = set(ip._BEARER_PROVIDERS) |
MINT	H-R9A-a	3	3	reports/round-9a-capability-organization.md	321	gateway/relay/media.py	| **H-R9A-a** | R9C(网关/传输片)或立即 | `gateway/relay/media.py:92` 的 `is_relay_media_url` | 子串判断使网关 bearer 可被挂到任意主机;修法是比对配置的 connector host,而非放宽/收紧子串 |
MINT	H-R9A-a	3	3	reports/round-9b-multimodal-delivery.md	325	gateway/relay/media.py	**■ H-R9A-a(一并结清,比上一条重一个量级)**:
VERDICT-STRONG	H-R9A-a	3	-	notes/r10-90-handover-rulings.md	65	结清/定案	| **H-R9A-a** | `notes/r9c-90-handover-rulings.md`:`H-R9A-a 结清:网关 bearer 的判定用子串` | 结清痕迹在底稿散文里,报告定案表未收录 |
VERDICT-STRONG	H-R9A-a	3	-	notes/r10-90-handover-rulings.md	411	结清/已结	机械普查只看得到前者,于是 4 条已结清的项目(H-R9A-a / d / h、H-R8C-a)
VERDICT-WEAK	H-R9A-a	3	-	notes/r11b-raw-rulings-census.md	68	移交	| **H** 移交号 | `H-<轮次或序号>[-后缀]` | `H-7`、`H-R9A-a`、`H-R10B-C-j` | 全项目(理论上) |
VERDICT-WEAK	H-R9A-a	3	-	notes/r11b-raw-rulings-census.md	230	移交	R9A  H-R9A-a     reports/round-9a-capability-organization.md:321   移交表,锚 media.py:92
VERDICT-STRONG	H-R9A-a	3	-	notes/r11b-raw-rulings-census.md	237	定案	**R9A 一轮之内就铸了两个号**(`■-01` 定案 + `H-R9A-a` 移交),这是本项目的结构性来源:
VERDICT-STRONG	H-R9A-a	3	-	notes/r11b-raw-rulings-census.md	428	定案	**形态与 M-1 里 R9A 的「■-01 + H-R9A-a」完全一样**:一条既定案又移交的条目拿两个号,
VERDICT-STRONG	H-R9A-a	3	-	notes/r11b-raw-rulings-census.md	789	定案	> R9C 对 H-R9A-a 的定案说"只做主机校验而不换成 `open_credentialed_url`,**实测仍会泄漏**"——
VERDICT-STRONG	H-R9A-a	3	-	notes/r11b-raw-rulings-census.md	802	结清/已结/定案	> | **H-R9A-a / d / h、H-R8C-a** | **判为「已结清,账目未记」** —— 结清写在底稿散文里,报告定案表没收录,机械普查因此读成 OPEN。这是账目问题,不是欠账 |
VERDICT-STRONG	H-R9A-a	3	-	notes/r11b-raw-rulings-census.md	810	升格	就在同一个类里」),照着它取证并升格 —— **R9C 的卷宗在 `H-R9A-a` 名下,路上没有任何一步会经过它。**
VERDICT-STRONG	H-R9A-a	3	-	notes/r9b-90-rulings.md	198	结清	## 2. H-R9A-a 结清:网关 bearer 的判定用子串,而正确的比较值就在同一个对象上
VERDICT-WEAK	H-R9A-a	3	-	notes/r9c-90-handover-rulings.md	18	维持	## 1. H-R9A-a:维持 ■,但修法要改
VERDICT-STRONG	H-R9A-a	3	-	notes/r9d-90-handover-credential-landing.md	328	定案	**实测复现(与 R9C 的 H-R9A-a 定案同型)。** 我起了两个回环 HTTP 服务:A 用 302 把请求重定向到 B
VERDICT-STRONG	H-R9A-a	3	-	notes/r9d-90-handover-credential-landing.md	358	定案	R9C 对 H-R9A-a 的定案说"只做主机校验而不换成 `open_credentialed_url`,**实测仍会泄漏**"——
VERDICT-STRONG	H-R9A-a	3	-	notes/r9d-90-handover-credential-landing.md	947	改判	| **H-R9C-a** | **改判**:env 分支非缺陷(推翻);stored 分支降级为设计缺口;**新增 ■ = 裸 `urlopen` 跨源重定向泄漏 Bearer**,与 H-R9A-a 同型 | `hermes_cli/nous_billing.py:413`:`with urllib.request.urlopen(req, timeout=timeout) as resp:`
VERDICT-STRONG	H-R9A-a	3	-	notes/r9d-91-handover-rulings.md	629	定案	**这与 R9C 定案的 H-R9A-a 是同一形态**(`urllib` + `Authorization`),
VERDICT-STRONG	H-R9A-a	3	-	reports/round-10-client-interface-layer.md	134	结清/已结/定案	| **H-R9A-a / d / h、H-R8C-a** | **判为「已结清,账目未记」** —— 结清写在底稿散文里,报告定案表没收录,机械普查因此读成 OPEN。这是账目问题,不是欠账 |
VERDICT-STRONG	H-R9A-a	3	-	reports/round-9b-multimodal-delivery.md	325	结清	**■ H-R9A-a(一并结清,比上一条重一个量级)**:
VERDICT-STRONG	H-R9A-a	3	-	reports/round-9c-external-interfaces.md	6	结清	切六片派工;结清 R9A / R9B 移交中归属本轮的全部条目,其中 **H-R9A-a 给出处置结论**;
MINT	H-R9A-b	3	1	notes/r9a-h-r8d-b-kanban-db.md	2068	hermes_cli/kanban_db.py,tools/process_registry.py	- **H-R9A-b(■-2 的范围确认)**:`hermes_cli/kanban_db.py:6941` 的
MINT	H-R9A-b	3	1	notes/r9d-90-handover-process-and-verification.md	316	hermes_cli/kanban_db.py	**■ H-R9A-b 成立。** `hermes_cli/kanban_db.py:6941` 的 `os.waitpid(-1, os.WNOHANG)`
MINT	H-R9A-b	3	1	notes/r9d-90-handover-process-and-verification.md	642	hermes_cli/kanban_db.py	| H-R9A-b | **改判:立 ■**(R9A 原为"不主张") | `hermes_cli/kanban_db.py:6941`:`pid, status = os.waitpid(-1, os.WNOHANG)` | 子系统级后台循环用进程级 `waitpid(-1)` 排干**全进程**
MINT	H-R9A-b	3	1	notes/r9d-90-handover-process-and-verification.md	643	tests/hermes_cli/test_kanban_db.py	| H-R9A-b 附 | 新增 ■(覆盖缺口) | `tests/hermes_cli/test_kanban_db.py:1548`:`# reap_worker_zombies() tests` | 该测试小节标题下 1550–1559 行全空,**一个用例都没有** |
MINT	H-R9A-b	3	1	notes/r9d-91-handover-rulings.md	765	hermes_cli/kanban_db.py	| **H-R9A-b** | `hermes_cli/kanban_db.py:6941`:`pid, status = os.waitpid(-1, os.WNOHANG)` | **立 ■**,推翻 R9A「不主张」;实证 42→0 降级 + fail-open 后果;R9A 测的 async
MINT	H-R9A-b	3	1	reports/round-9a-capability-organization.md	322	hermes_cli/kanban_db.py	| **H-R9A-b** | R9D | `hermes_cli/kanban_db.py:6941` 的 `os.waitpid(-1, os.WNOHANG)` | 全仓唯一一处 `waitpid(-1)`,跑在网关工作线程上,会替别处的后台 `Popen` 收尸使属主拿到错误退出码;asyn
MINT	H-R9A-b	3	2	notes/r9a-raw-egress.md	1799	agent/proxy_sources/iron_proxy.py	- **H-R9A-b**:锚点 `agent/proxy_sources/iron_proxy.py:1174` 的 `"match_body": False`——
MINT	H-R9A-b	3	3	notes/r9d-raw-kanban-todo-cron.md	1618	gateway/kanban_watchers.py	**所以 H-R9A-b 的暴露面恰好只有两处,都在 dispatcher 侧**:
VERDICT-STRONG	H-R9A-b	3	-	notes/r9d-90-handover-process-and-verification.md	642	改判	| H-R9A-b | **改判:立 ■**(R9A 原为"不主张") | `hermes_cli/kanban_db.py:6941`:`pid, status = os.waitpid(-1, os.WNOHANG)` | 子系统级后台循环用进程级 `waitpid(-1)` 排干**全进程**已退出子进程;被偷走状态的 `Popen` 属主在 CPython 下得 `returncode =
VERDICT-STRONG	H-R9A-b	3	-	notes/r9d-91-handover-rulings.md	6	定案	> 本轮需定案 7 条:R9A 移交归 R9D 的 5 条(H-R9A-b / c / e / f / g)+ R9C 的 2 条(H-R9C-a / b)。
VERDICT-STRONG	H-R9A-b	3	-	notes/r9d-raw-kanban-todo-cron.md	1589	定案	### 给 H-R9A-b 定案位的材料(waitpid 移交项)
VERDICT-WEAK	H-R9A-b	3	-	reports/round-9b-multimodal-delivery.md	462	续转/移交	| **H-R9A-b / c / e / f / g**(续转) | R9D | 见 `reports/round-9a-capability-organization.md` §11 | R9A 移交、归 R9D 的五条,本轮未动 |
VERDICT-WEAK	H-R9A-b	3	-	reports/round-9c-external-interfaces.md	420	续转/移交	| **H-R9A-b / c / e / f / g**(续转) | R9D | `reports/round-9a-capability-organization.md` §11 | R9A 移交、归 R9D 的五条,本轮未动 |
VERDICT-WEAK	H-R9A-b	3	-	reports/round-9c-external-interfaces.md	430	移交	3. 落实 R9A 移交归 R9D 的五条(H-R9A-b / c / e / f / g)与本轮的 H-R9C-a / b。
VERDICT-STRONG	H-R9A-b	3	-	reports/round-9d-l1-completion.md	160	关闭	**H-R9A-b —— R9A 的负结论关闭了调查,而它测的恰是唯一安全的那一侧。**
MINT	H-R9A-c	3	1	notes/r9a-h-r8d-b-kanban-db.md	2075	hermes_cli/kanban_db.py	- **H-R9A-c(段 B 剩余业务面未精读)**:`hermes_cli/kanban_db.py:8203-8674`
MINT	H-R9A-c	3	2	notes/r9a-raw-egress.md	1802	tools/environments/docker.py	- **H-R9A-c**:锚点 `tools/environments/docker.py:923` 的 `resource_args.append("--network=none")`——
MINT	H-R9A-c	3	3	notes/r9d-90-handover-process-and-verification.md	644	agent/tool_result_classification.py,agent/verification_stop.py	| H-R9A-c | **维持 ■** | `agent/tool_result_classification.py:9`:`FILE_MUTATING_TOOL_NAMES = frozenset({"write_file", "patch"})` | verify-on-stop 门只认这两个
MINT	H-R9A-c	3	3	notes/r9d-90-handover-process-and-verification.md	645	website/docs/user-guide/features/hooks.md	| H-R9A-c ▲ | 新增 ▲ | `website/docs/user-guide/features/hooks.md:670` 的 `Fires` | 文档写门"when the agent edited code"触发,实为"when write_file/patch succeeded
MINT	H-R9A-c	3	3	notes/r9d-90-handover-process-and-verification.md	646	tools/working_diff.py	| H-R9A-c ◇ | 新增 ◇ | `tools/working_diff.py:70` 的 `collect_working_diff` | 仓库已有 git 级工作区改动探针,但只被 `/diff` 与 CLI 调用,**验证门从不调它** |
MINT	H-R9A-c	3	3	notes/r9d-90-handover-process-and-verification.md	647	agent/display.py	| H-R9A-c ■附 | 新增 ■(内部不自洽) | `agent/display.py:909`:`if tool_name not in {"write_file", "patch", "skill_manage"}:` | 同一"改文件工具"概念在 display 是三元集合(多 `ski
MINT	H-R9A-c	3	3	notes/r9d-91-handover-rulings.md	766	agent/tool_result_classification.py	| **H-R9A-c** | `agent/tool_result_classification.py:9`:`FILE_MUTATING_TOOL_NAMES = frozenset({"write_file", "patch"})` | **立 ■ 但改述定性**:是收尾验证门变窄,**非**
MINT	H-R9A-c	3	3	reports/round-9a-capability-organization.md	323	agent/tool_result_classification.py	| **H-R9A-c** | R9D | `agent/tool_result_classification.py:9` 的 `FILE_MUTATING_TOOL_NAMES` | 验证门按工具名白名单,`sed -i` / `execute_code` / MCP 文件工具改代码后门直接放行,
VERDICT-WEAK	H-R9A-c	3	-	notes/r9d-90-handover-process-and-verification.md	1	移交	# r9d-90 · 移交项取证组 A —— H-R9A-b(waitpid 收尸)+ H-R9A-c(改文件工具白名单)
VERDICT-WEAK	H-R9A-c	3	-	notes/r9d-90-handover-process-and-verification.md	599	维持/移交	**■ H-R9A-c 成立,维持原移交项判断,并收紧其表述。**
VERDICT-WEAK	H-R9A-c	3	-	notes/r9d-90-handover-process-and-verification.md	644	维持	| H-R9A-c | **维持 ■** | `agent/tool_result_classification.py:9`:`FILE_MUTATING_TOOL_NAMES = frozenset({"write_file", "patch"})` | verify-on-stop 门只认这两个名字;`sed -i` / `execute_code` / MCP 改代码后 `changed_p
VERDICT-WEAK	H-R9A-c	3	-	reports/round-9d-l1-completion.md	151	维持	| **H-R9A-c** | **维持 ■,但改述定性**:是收尾验证门变窄,**非**审批旁路 |
MINT	H-R9A-d	3	1	notes/r9a-h-r8d-b-kanban-db.md	2080	website/docs/user-guide/features/kanban.md	- **H-R9A-d(◇-4 的取证深度)**:`website/docs/user-guide/features/kanban.md:1021-1026`
MINT	H-R9A-d	3	2	notes/r9a-raw-egress.md	1817	website/docs/developer-guide/egress-internals.md	- **H-R9A-d**:`website/docs/developer-guide/egress-internals.md:294` 声称 iron-proxy 写的是
MINT	H-R9A-d	3	3	notes/r9b-90-rulings.md	8	tools/skills_sync_client.py	## 1. H-R9A-d 结清:凭据获取侧有主机允许清单,凭据**使用**侧没有
MINT	H-R9A-d	3	3	reports/round-9a-capability-organization.md	324	tools/skills_sync_client.py	| **H-R9A-d** | R9B/R9C 任一 | `tools/skills_sync_client.py:318` 的 `resolve_sync_base_url` | 同步端点只做 `strip()`,无 scheme 校验无主机白名单,而其上挂 Nous JWT bearer;走 `
MINT	H-R9A-d	3	3	reports/round-9b-multimodal-delivery.md	309	tools/skills_sync_client.py	**■ H-R9A-d(结清,现象属实但两侧都要修正)**:
VERDICT-STRONG	H-R9A-d	3	-	notes/r10-90-handover-rulings.md	66	结清	| **H-R9A-d** | `notes/r9b-90-rulings.md`:`H-R9A-d(结清,现象属实但两侧都要修正)` | 同上 |
VERDICT-STRONG	H-R9A-d	3	-	notes/r11b-90-handover-rulings.md	393	结清/已结	| **H-R9A-d** | 「R9B/R9C 任一」 | **确认为已结清、账目未记**:`notes/r9b-90-rulings.md` 的结论表已写 `H-R9A-d(结清,现象属实但两侧都要修正)`,普查因列名匹配读成移交。本轮 §H-R10-c 的入册规则正是为它这一类 |
VERDICT-WEAK	H-R9A-d	3	-	notes/r9a-h-r8d-ef-surveys.md	1342	移交	**本轮新开的移交项**:H-R9A-a / H-R9A-b / H-R9A-c(普查一)、H-R9A-d(普查二),
VERDICT-STRONG	H-R9A-d	3	-	notes/r9b-90-rulings.md	8	结清	## 1. H-R9A-d 结清:凭据获取侧有主机允许清单,凭据**使用**侧没有
VERDICT-STRONG	H-R9A-d	3	-	reports/round-11b-review-and-reconciliation.md	374	结清/已结	**H-R9A-d 与 H-R9A-h 确认为已结清、账目未记**——后者的结清写在 `CLAUDE.md` 里,
VERDICT-STRONG	H-R9A-d	3	-	reports/round-9b-multimodal-delivery.md	309	结清	**■ H-R9A-d(结清,现象属实但两侧都要修正)**:
MINT	H-R9A-g	2	1	notes/r9d-91-handover-rulings.md	769	AGENTS.md	| **H-R9A-g** | `AGENTS.md:966`:`All toolsets are defined in ` | **关闭**。R9A 的「漏 28」改正为 **31**;**主线初判被推翻**——按定稿快照(集合严格相等)拆为 24 平台族 **◇** + 7 能力 toolset
MINT	H-R9A-g	2	1	reports/round-9a-capability-organization.md	327	AGENTS.md	| **H-R9A-g** | R9D | `AGENTS.md:971-974` 的 toolset 清单 | 文档列 30 个键、代码有 58 个,**文档还漏 28 个**;本轮只判定了「文档有而代码无」的 3 个,漏列那一半未判 |
MINT	H-R9A-g	2	2	notes/r9d-92-mainline-tests-and-crosschecks.md	624	toolsets.py	**一处跨条目的呼应,值得单独指出**:`x_search` 同时是 §H-R9A-g 查出的
VERDICT-STRONG	H-R9A-g	2	-	notes/r11b-raw-rulings-census.md	191	改判	| **M-10** | `AGENTS.md` toolset 清单与代码不符 | R9A `▲-3`(moa 底稿)、r9a 章 `▲4`、`H-R9A-g` | 3 | 2 | `H-R9A-g`(R9D 已改判) |
VERDICT-STRONG	H-R9A-g	2	-	notes/r11b-raw-rulings-census.md	447	结清	R9A 的 moa 底稿立 `▲-3`、成品章列 `▲4`、主线移交表铸 `H-R9A-g`。R9D 结清时把它
VERDICT-WEAK	H-R9A-g	2	-	notes/r9d-90-handover-agents-md-toolset-census.md	1	移交	# r9d-90 · 移交项取证组 C —— H-R9A-g:`AGENTS.md` toolset 清单的文档缺口普查
VERDICT-WEAK	H-R9A-g	2	-	notes/r9d-90-handover-agents-md-toolset-census.md	29	移交	R9A 移交项 H-R9A-g:锚点写作「AGENTS.md 的 971–974 行」的 toolset 清单;现象是「文档列 30 个键、
VERDICT-STRONG	H-R9A-g	2	-	notes/r9d-90-handover-agents-md-toolset-census.md	657	关闭	**H-R9A-g:关闭并改述。**
VERDICT-STRONG	H-R9A-g	2	-	notes/r9d-91-handover-rulings.md	572	关闭	- **判定完成,H-R9A-g 关闭。**
