num	literal	where	corpus	line
16	第 16 章	notes/r11c-raw-pre-binding-inventory.md:33	carrier	另有 1 条不是重复而是**冲突**:同一个覆盖率被第 13 章与第 16 章用两种口径各报一次,
16	第 16 章	notes/r11c-raw-pre-binding-inventory.md:372	carrier	同一个「`urllib_security` 被采纳了多少」,第 13 章报 **5 处 / 60 多**,第 16 章报 **2 个 / 25**。
16	第 16 章	notes/r11c-raw-pre-binding-inventory.md:491	carrier	### 4.4 第 13 章与第 16 章的覆盖率两个读数
16	第 16 章	notes/r11c-raw-pre-binding-inventory.md:493	carrier	同 §3.6,不重复。它既是「跨章重复/冲突」也是「未同步」——因为第 16 章(R9C)的读数**更晚**,
16	第 16 章	notes/r11c-raw-pre-binding-inventory.md:547	carrier	| **H-R11C-F-d** | 同一个「`urllib_security` 采纳率」被两章用两种口径各报一次(第 13 章 5 处/60 多;第 16 章 2 个/25),**两章都没写自己的口径** | `chapters/r9c-external-interfaces.md:22`:`307/308 语义、防
17	第十七章	data/r11c/dispatch-brief.md:218	carrier	现有章号散见于各轮 PR 描述(第十二章、第十七章…),**核对一遍有没有重号或跳号**。
17	第十七章	git:dfcccc7	gitlog	r9d 成品章(第十七章)+ 移交取证组 B/C 到货,主线一处初判被推翻
17	第 17 章	notes/r11c-raw-pre-binding-inventory.md:112	carrier	第 17 章讲守卫装在哪一层。三章之间隔了 13 章。
17	第十七章	notes/r11c-raw-pre-binding-inventory.md:160	carrier	就会把它抬高一次。开工首测 **29 处**(承载贡献 4:派工书写了「第十二章、第十七章」,
17	第 17 章	notes/r11c-raw-pre-binding-inventory.md:299	carrier	| M1 | `AGENTS.md:971-975` toolset 键清单 | 第 14 章 `r9a:429`、第 17 章 `r9d:643` | 14 章一行 ▲4 表格格(「列出 30 个键,其中 3 个不存在」);17 章有完整引文 + 58/30/漏 31/多列 3 的全套数,并自陈「结清 R9A 的一条
17	第 17 章	notes/r11c-raw-pre-binding-inventory.md:305	carrier	| M7 | `agent/file_safety.py:280-284` Bitwarden 缓存注释 + 1Password 同错未挡 | 第 16 章 `r9c:418`、第 17 章 `r9d:229` | 同一段注释、同一个「发生过一次、被记录、又犯一次」的故事;16 章更完整(带全仓 grep 与 1Pas
17	第 17 章	notes/r11c-raw-pre-binding-inventory.md:486	carrier	**执行**:第 13 章 `:328` 由 ◇ 升为 ◇ + ■(或改述为「◇ 采用率低 → 见第 17 章 ■」),
17	第 17 章	notes/r11c-raw-pre-binding-inventory.md:505	carrier	| 漏列 31 个 toolset 整体判 ▲ → 24 ◇ + 7 ▲ + 3 ▲(R9D 推翻主线初判) | 第 17 章 `chapters/r9d-tool-surface-and-guard-placement.md:667`:`(本章初稿把 31 个整体算作 ▲,是错的;更正依据是上面那次定稿快照对读。)`
18	第 18 章	notes/r11c-raw-pre-binding-inventory.md:88	carrier	| 19 | `r10b-desktop-application.md` | R10B | 308 | 桌面应用 | 第六部。`reports/round-10b-desktop-application.md:722` 自陈与第 18 章合起来才是完整界面层,R12 应把两章并为一部的相邻两节 |
18	第十八章	reports/round-10b-desktop-application.md:722	reports	4. **R12 装订时**,本章是第十九章;第十八章(R10)与本章合起来才是完整的「界面层」。
19	第十九章	git:719882e	gitlog	产出:chapters/r10b-desktop-application.md(第十九章)、
19	第十九章	reports/round-10b-desktop-application.md:722	reports	4. **R12 装订时**,本章是第十九章;第十八章(R10)与本章合起来才是完整的「界面层」。
20	第二十章	git:97ad57e	gitlog	成品章第二十章:chapters/r11a-ops-and-delivery.md《交付面》。
20	第 20 章	notes/r11c-raw-pre-binding-inventory.md:347	carrier	| A#6 `agent/skill_utils.py:849-877` | 第 14 章 `r9a:44`、第 20 章 `r11a:207` | 14 章讲 `SKILL_PROMPT_DESC_LIMIT = 60`(模型只看见一行索引);20 章讲 `iter_skill_index_files` | **不合
21	第二十一章	git:a5b53b9	gitlog	R11B:片 A 到货 —— 跨轮定案去重普查 + 后轮覆盖前轮已证伪结论普查;第二十一章
21	第二十一章	git:a5b53b9	gitlog	第二十一章 chapters/r11b-the-unwritten-layer.md:以 38 个欠账文件为素材,讲 harness
21	第 21 章	notes/r11c-raw-pre-binding-inventory.md:118	carrier	3. **第 21 章不是一个主题章,是一份补遗。** 它自陈「本章是它(第 8 章)的边角补遗」。
21	第 21 章	notes/r11c-raw-pre-binding-inventory.md:131	carrier	- **重号**:第 21 章正文把 `r7b-platform-integration.md` 称作**第十一章**——
21	第 21 章	notes/r11c-raw-pre-binding-inventory.md:544	carrier	| **H-R11C-F-a** | 成品章正文里的章号重号:第 21 章把 r7b 叫作第十一章,而第十一章是 r8b(§8.2 表 + 合并提交 `fa04d83`)。**章号不在任何关卡的检查面上**,所以它能一直活着 | `chapters/r11b-the-unwritten-layer.md:255`:`-
21	第 21 章	notes/r11c-raw-pre-binding-inventory.md:92	carrier	**「21 章 vs 派工书说的 20 章」**:第 21 章是 R11B 主线新增的,R11B 报告的口径注这样称呼它:
21	第二十一章	notes/r11c-raw-pre-binding-inventory.md:96	carrier	> *口径注:479 里有 5 条来自主线本轮新增的第二十一章;片 C 收工自测的自身贡献口径是 474。
21	第二十一章	reports/round-11b-review-and-reconciliation.md:207	reports	*口径注:479 里有 5 条来自主线本轮新增的第二十一章;片 C 收工自测的自身贡献口径是 474。
